question,answer
訪問時に他の入居者から緊急訪問の依頼があった場合、訪問してもよいですか？,原則として、訪問時間はその方のための提供時間ですので、他の入居者からの緊急訪問の依頼には提供のない看護師が対応します。
痰吸引研修の認定はどのように取得できますか？,：５０時間の講義を受講した後、１号研修（痰吸引と経管栄養）と２号研修（１号研修の一部の特定行為）を終了し、認定 を受けたものに限ります。
訪問看護加算の看護補助者の条件は何ですか？,看護師の指導の下に看護業務の補助を行う者で、訪問看護ステーション事業所に所属し、管理者の元で定期的に研修を受 けていることが条件です。事務員でも条件を満たしていれば可能です。
訪問看護時のバイタルサインの測定は必須ですか？,医療保険・介護保険での訪問では、定期訪問・緊急訪問に限らず必須です。ただし、定期巡回の随時訪問では状況に合わ せて省くこともあります。
死亡診断書と死体検案書の違いは何ですか？,死亡診断書は医師が最終診察から24時間以内に死亡した場合や、死因が明らかである場合に作成します。一方、死体検案書は医師の最終診察から24時間以上経過しており、死因や死亡時刻が不明、または異状死の場合に作成します。
障害の給付で医療用具を安く購入するにはどうすればいいですか？,まず、身体障害者手帳を所有していることが条件です。身体障害者手帳と見積書を持って行政管轄窓口に申請に行きます。手帳に記載されている診断名とは異なる疾患に該当するものを購入希望であれば、指定医師に日常生活用具給付意見書を書いても らい、それを持って申請します。
 医療保険証の数字の頭2桁は何を示していますか？," 数字の頭2桁は保険証の種別を示しています。例えば、""12""は生活保護、""19""は原爆認定疾病医療、""21""は自立支援医療証 、""39""は後期高齢者医療被保険者証を示します。"
医療保険証の種別をどのように判断すればよいですか？,医療保険証の種別は、保険証の数字の頭２桁で判断できます。例えば、「12」は生活保護、「19」は原爆認定疾病医療、「21」は自立支援医療証などとなります。
後期高齢者医療被保険者証の負担割合はどのように決まりますか？, 後期高齢者医療被保険者証の負担割合は「1割負担」、「後期高齢者医療限度額適用 標準負担額減額認定証に該当する場合」、「3割負担 後期高齢者医療限度額適用認定証に沿って上限負担額が決定」の3つから決定されます。
 重度障害医療証の利用時の負担はどのようになりますか？,重度障害医療証の利用時、病院と薬局は無料ですが、訪問看護は1割負担となります。また、8000円を超える場合は償還払 いとなります。
